ID,Name,Age,Average,Predicted,Price,Position,Games,Drafted,Ignored
268,Archie Roberts,19,85,85,715000,def,4,0,0
269,Ben King,24,53.2,53.2,546000,fwd,22,0,0
270,Zac Taylor,21,42.9,42.9,427000,fwd,9,0,0
271,Conor McKenna,28,60.4,60.4,619000,def,14,0,0
272,Cam Rayner,25,67.6,67.6,693000,fwd,23,0,0
273,Darcy Wilson,19,65.4,65.4,671000,fwd,23,0,0
274,Luke McDonald,29,60.3,60.3,619000,def,22,0,0
275,Ben Ainsworth,26,65.1,65.1,668000,fwd,17,0,0
276,Thomson Dow,23,51.6,51.6,529000,mid,17,0,0
277,Tom Barrass,29,58.7,58.7,602000,def,18,0,0
278,Kai Lohmann,21,59.8,59.8,613000,fwd,23,0,0
279,Jacob Weitering,27,64.8,64.8,665000,def,21,0,0
280,Mitch Georgiades,23,63.5,63.5,652000,fwd,17,0,0
281,Nat Fyfe,33,59.8,59.8,613000,mid,22,0,0
282,Noah Answerth,25,51,51,523000,def,12,0,0
283,Toby Bedford,24,57.6,57.6,591000,fwd,22,0,0
284,Kayle Gerreyn ,18,0,0,232000,ruck,0,0,0
285,Oskar Baker,26,56.3,56.3,544000,mid,6,0,0
286,Nathan Broad,31,61.6,61.6,632000,def,22,0,0
287,Nicholas Madden,20,0,0,230000,ruck,0,0,0
288,Logan Smith,18,0,0,230000,ruck,0,0,0
289,Max Michalanney,20,65.2,65.2,669000,def,23,0,0
290,Josh Rachele,21,64.4,64.4,661000,fwd,22,0,0
291,Alex Sexton,31,76.3,76.3,783000,def,15,0,0
292,Cam Mackenzie,20,58.3,58.3,598000,mid,20,0,0
293,Finn Maginness,23,49.2,49.2,505000,fwd,11,0,0
294,Dante Visentini,21,54.7,54.7,443000,ruck,3,0,0
295,Liam Reidy,24,51.5,51.5,402000,ruck,2,0,0
296,Jaspa Fletcher,20,60.4,60.4,620000,mid,23,0,0
297,Jamie Cripps,32,71,71,729000,fwd,23,0,0
298,Connor Budarick,23,61.3,61.3,709000,def,8,0,0
299,Neil Erasmus,21,25.8,25.8,435000,fwd,4,0,0
300,Charlie Cameron,30,58.6,58.6,601000,fwd,23,0,0
301,Sam Draper,26,67,67,687000,ruck,16,0,0
302,Taylor Walker,34,61.9,61.9,635000,fwd,18,0,0
303,Jayden Hunt,29,62.3,62.3,639000,def,20,0,0
304,Max King,24,51.4,51.4,528000,fwd,12,0,0
305,Tim Membrey,30,62.5,62.5,641000,fwd,19,0,0
306,Aiden Riddle,19,0,0,230000,ruck,0,0,0
307,Dylan Williams,23,40,40,523000,def,5,0,0
308,Tom Lynch,32,40.8,40.8,435000,fwd,4,0,0
309,Chayce Jones,24,59.8,59.8,613000,mid,16,0,0
310,Brady Hough,21,58.5,58.5,600000,def,23,0,0
311,Corey Wagner,27,61.2,61.2,628000,def,12,0,0
312,Cameron Zurhaar,26,66.4,66.4,681000,fwd,22,0,0
313,Jamarra Ugle-Hagan,22,62.4,62.4,640000,fwd,21,0,0
314,Jack Gunston,33,56.1,56.1,575000,fwd,16,0,0
315,Hudson O'Keeffe,20,0,0,230000,ruck,0,0,0
316,Elijah Tsatas,20,36.7,36.7,600000,mid,7,0,0
317,Sam Switkowski,28,69.1,69.1,708000,fwd,20,0,0
318,James Jordon,24,60.9,60.9,625000,fwd,23,0,0
319,Cooper Lord,19,69.5,69.5,542000,mid,2,0,0
320,Oscar Steene,21,0,0,230000,fwd,0,0,0
321,Iliro Smit,19,0,0,230000,ruck,0,0,0
322,Jake Stringer,30,65.9,65.9,676000,fwd,23,0,0
323,Josh Worrell,23,68.7,68.7,705000,def,13,0,0
324,Taylor Duryea,33,61,61,625000,def,21,0,0
325,Will Hayward,26,66.2,66.2,679000,fwd,23,0,0
326,Mitchell Edwards,19,0,0,230000,ruck,0,0,0
327,Jacob Molier,18,0,0,230000,ruck,0,0,0
328,Joe Pike,19,0,0,230000,ruck,0,0,0
329,Mitch Lewis,26,43.8,43.8,605000,fwd,4,0,0
330,Dylan Stephens,23,47.7,47.7,489000,mid,16,0,0
331,Tom Cole,27,64,64,656000,def,23,0,0
332,Mark Keane,24,63,63,646000,def,21,0,0
333,Reuben Ginbey,20,60.1,60.1,617000,mid,23,0,0
334,Jamie Elliott,32,64.2,64.2,659000,fwd,15,0,0
335,Harris Andrews,28,63.5,63.5,651000,def,22,0,0
336,Tyson Stengle,26,64.3,64.3,660000,fwd,23,0,0
337,Joel Jeffrey,22,58.8,58.8,604000,def,12,0,0
338,Cody Weightman,23,61.2,61.2,628000,fwd,16,0,0
339,Bruce Reville,23,47.8,47.8,491000,mid,12,0,0
340,Tom Doedee,27,0,0,399000,def,0,0,0
341,Jack Higgins,25,60.9,60.9,624000,fwd,20,0,0
342,Lincoln McCarthy,31,61.5,61.5,593000,fwd,8,0,0
343,Harry Cunningham,31,52.6,52.6,539000,def,20,0,0
344,Logan McDonald,22,58.8,58.8,604000,fwd,23,0,0
345,Darcy Fogarty,25,58.6,58.6,601000,fwd,23,0,0
346,Jaxon Binns,20,48.7,48.7,394000,mid,3,0,0
347,Tom Campbell,33,40.5,40.5,316000,ruck,2,0,0
348,James Trezise,22,50.7,50.7,719000,def,7,0,0
349,Jack Lukosius,24,61.3,61.3,629000,fwd,21,0,0
350,Nick Coffield,25,41.9,41.9,404000,def,8,0,0
351,Jayden Laverde,28,63.9,63.9,655000,def,21,0,0
352,Judd McVee,21,59,59,605000,def,23,0,0
353,Braeden Campbell,22,47.8,47.8,490000,mid,20,0,0
354,Tom McDonald,32,63.1,63.1,648000,def,22,0,0
355,Oliver Henry,22,45.2,45.2,464000,fwd,21,0,0
356,Nick Larkey,26,55.3,55.3,567000,fwd,23,0,0
357,Zac Williams,30,60.8,60.8,624000,def,18,0,0
358,Peter Wright,28,64.4,64.4,661000,fwd,14,0,0
359,Luke Breust,34,38.3,38.3,393000,fwd,17,0,0
360,Brandon Starcevich,25,46.7,46.7,479000,def,17,0,0
361,Nick Watson,19,55.5,55.5,569000,fwd,16,0,0
362,Eric Hipwood,27,61.4,61.4,630000,fwd,20,0,0
363,Mason Cox,33,50.4,50.4,517000,fwd,16,0,0
364,Callum Ah Chee,27,59.3,59.3,609000,fwd,22,0,0
365,Mark O'Connor,27,54.8,54.8,563000,def,13,0,0
366,Lachie Schultz,27,62.2,62.2,638000,fwd,20,0,0
367,Jack Silvagni,27,0,0,455000,fwd,0,0,0
368,Caleb Windsor,19,59,59,605000,mid,19,0,0
369,Marty Hore,28,52.2,52.2,471000,def,6,0,0
370,Liam Ryan,28,58.4,58.4,600000,fwd,16,0,0
371,Oscar Allen,25,56.5,56.5,580000,fwd,11,0,0
372,Will Hoskin-Elliott,31,58.7,58.7,602000,fwd,20,0,0
373,Jack Darling,32,53.6,53.6,550000,fwd,21,0,0
374,Liam Henry,23,57.3,57.3,588000,fwd,12,0,0
375,Ned Long,21,45.1,45.1,421000,mid,7,0,0
376,Riley Thilthorpe,22,68.3,68.3,638000,fwd,7,0,0
377,Changkuoth Jiath,25,47.9,47.9,492000,mid,11,0,0
378,Nik Cox,22,52.9,52.9,543000,mid,20,0,0
379,Jake Riccardi,25,59.7,59.7,613000,fwd,19,0,0
380,Isaac Quaynor,24,53.2,53.2,546000,def,23,0,0
381,Ben Hobbs,21,48.2,48.2,498000,fwd,12,0,0
382,Bobby Hill,24,56.1,56.1,576000,fwd,23,0,0
383,David Swallow,32,41.3,41.3,424000,def,20,0,0
384,Matthew Cottrell,24,49.9,49.9,512000,fwd,14,0,0
385,Kamdyn McIntosh,30,47.4,47.4,486000,mid,22,0,0
386,Kane McAuliffe,19,39.8,39.8,396000,mid,9,0,0
387,Eddie Ford,22,53.7,53.7,551000,fwd,18,0,0
388,Todd Marshall,26,53.6,53.6,550000,fwd,18,0,0
389,Jhye Clark,20,47.3,47.3,485000,mid,15,0,0
390,Sam Banks,21,43.7,43.7,448000,mid,15,0,0
391,Mitch Owens,21,57.3,57.3,588000,fwd,23,0,0
392,Kade Chandler,24,61.1,61.1,627000,fwd,23,0,0
393,Riley Garcia,23,62.9,62.9,645000,fwd,11,0,0
394,Jimmy Webster,31,58.8,58.8,603000,def,15,0,0
395,Sam Powell-Pepper,26,56.7,56.7,498000,fwd,3,0,0
396,Henry Hustwaite,20,22.8,22.8,526000,mid,4,0,0
397,Jaxon Prior,23,42.5,42.5,362000,def,4,0,0
398,Aliir Aliir,30,62.1,62.1,638000,def,22,0,0
399,Rhylee West,24,59.6,59.6,612000,fwd,21,0,0
400,Jacob Wehr,26,54.3,54.3,557000,mid,11,0,0
401,Ben Paton,26,25.8,25.8,458000,def,4,0,0
402,Brodie Kemp,23,66.7,66.7,684000,def,20,0,0
403,Jye Amiss,21,49.5,49.5,508000,fwd,22,0,0
404,Brandon Walker,22,55.1,55.1,565000,def,19,0,0
405,Hugo Ralphsmith,23,53.7,53.7,551000,mid,18,0,0
406,Mitch Knevitt,21,41.3,41.3,431000,mid,4,0,0
407,Samson Ryan,24,35.5,35.5,450000,fwd,8,0,0
408,Jackson Mead,23,60.3,60.3,619000,fwd,23,0,0
409,Paul Curtis,21,56.5,56.5,578000,fwd,23,0,0
410,Cody Anderson,18,0,0,230000,mid,0,0,0
411,Dane Rampe,34,47.3,47.3,485000,def,18,0,0
412,Josh Goater,21,32,32,408000,def,1,0,0
413,Harvey Gallagher,21,54.8,54.8,562000,mid,19,0,0
414,Arie Schoenmaker,19,58.8,58.8,494000,def,4,0,0
415,Jade Gresham,27,54.9,54.9,563000,fwd,22,0,0
416,Cooper Sharman,24,50.2,50.2,515000,fwd,18,0,0
417,Tom Fullarton,25,0,0,278000,fwd,0,0,0
418,Clay Hall,19,33,33,267000,mid,3,0,0
419,Nick Holman,29,49.1,49.1,505000,fwd,21,0,0
420,Bailey Banfield,26,62.2,62.2,638000,fwd,22,0,0
421,Lachlan Murphy,26,52.8,52.8,542000,fwd,17,0,0
422,Bayley Fritsch,28,50.1,50.1,514000,fwd,23,0,0
423,Darcy Byrne-Jones,29,56.7,56.7,582000,fwd,23,0,0
424,Brody Mihocek,31,58.6,58.6,602000,fwd,11,0,0
425,Michael Walters,33,44.2,44.2,454000,fwd,17,0,0
426,Ryan Gardner,27,0,0,279000,def,0,0,0
427,Jordan Boyd,26,58.6,58.6,601000,def,19,0,0
428,Angus McLennan,21,54,54,421000,def,2,0,0
429,Jack Ough,18,0,0,235000,mid,0,0,0
430,Josaia Delana,18,0,0,230000,mid,0,0,0
431,James Leake,19,0,0,230000,def,0,0,0
432,Liam Stocker,24,50.7,50.7,520000,def,16,0,0
433,Quinton Narkle,27,37.1,37.1,381000,fwd,10,0,0
434,Xavier Lindsay,18,0,0,310000,mid,0,0,0
435,Harvey Langford ,18,0,0,325000,mid,0,0,0
436,Darcy Jones,20,54.8,54.8,562000,fwd,12,0,0
437,Oliver Hannaford,18,0,0,289000,fwd,0,0,0
438,Cody Angove ,18,0,0,271000,fwd,0,0,0
439,Lachlan Cowan,20,56.5,56.5,580000,def,16,0,0
440,Lachlan Keeffe,34,52.7,52.7,427000,ruck,3,0,0
441,Jack Carroll,22,40.1,40.1,411000,fwd,15,0,0
442,Elijah Hewett,20,0,0,332000,fwd,0,0,0
443,Daniel McStay,29,56.2,56.2,490000,fwd,5,0,0
444,Joe Richards,25,50.9,50.9,506000,fwd,9,0,0
445,Matt Guelfi,27,56.8,56.8,583000,fwd,13,0,0
446,Cooper Hynes,18,0,0,283000,mid,0,0,0
447,Luke Kennedy,18,0,0,230000,mid,0,0,0
448,Hugh Boxshall,18,0,0,230000,mid,0,0,0
449,Lucas Camporeale,18,0,0,230000,mid,0,0,0
450,Ben Camporeale,18,0,0,230000,mid,0,0,0
451,Jagga Smith ,18,0,0,334000,mid,0,0,0
452,Isaac Kako,18,0,0,304000,fwd,0,0,0
453,Archer Day-Wicks,18,0,0,230000,fwd,0,0,0
454,Finn O'Sullivan ,18,0,0,337000,mid,0,0,0
455,Luke Urquhart,18,0,0,230000,mid,0,0,0
456,Ryan Angwin,22,56,56,471000,mid,4,0,0
457,Finlay Macrae,22,39.9,39.9,468000,fwd,9,0,0
458,Michael Frederick,24,49.2,49.2,504000,fwd,20,0,0
459,Brennan Cox,26,51.8,51.8,696000,def,9,0,0
460,Hugo Garcia,19,43.6,43.6,421000,fwd,8,0,0
461,Harry Sharp,22,45.7,45.7,536000,mid,6,0,0
462,Charlie Comben,23,60.5,60.5,622000,def,19,0,0
463,Blake Howes,21,52.3,52.3,537000,def,16,0,0
464,Saad El-Hawli,23,0,0,230000,def,0,0,0
465,Zak Johnson,18,0,0,230000,mid,0,0,0
466,Rhys Unwin,18,0,0,230000,mid,0,0,0
467,Reece Torrent,19,0,0,230000,mid,0,0,0
468,Sam Marshall,18,0,0,268000,mid,0,0,0
469,Levi Ashcroft,18,0,0,328000,mid,0,0,0
470,Beau McCreery,23,53.1,53.1,544000,fwd,17,0,0
471,Koltyn Tholstrup,19,54.5,54.5,559000,fwd,10,0,0
472,Jack Henry,26,54.5,54.5,559000,def,23,0,0
473,Ben Long,27,55.9,55.9,573000,fwd,17,0,0
474,Brad Close,26,55.9,55.9,574000,fwd,23,0,0
475,George Stevens,19,0,0,230000,mid,0,0,0
476,Xavier Ivisic,18,0,0,230000,mid,0,0,0
477,Patrick Retschko,18,0,0,230000,mid,0,0,0
478,Jack Martin,29,31,31,438000,fwd,3,0,0
479,Max Hall,22,0,0,230000,fwd,0,0,0
480,Patrick Said,18,0,0,230000,fwd,0,0,0
481,Murphy Reid ,18,0,0,292000,mid,0,0,0
482,Bailey Laurie,22,35.8,35.8,324000,fwd,6,0,0
483,Jayden Nguyen,18,0,0,230000,def,0,0,0
484,Harrison Jones,23,54.8,54.8,562000,fwd,21,0,0
485,Geordie Payne,19,0,0,230000,fwd,0,0,0
486,River Stevens,18,0,0,230000,fwd,0,0,0
487,Jake Lever,28,56.1,56.1,576000,def,18,0,0
488,Miller Bergman,21,31.7,31.7,364000,def,3,0,0
489,Rhyan Mansell,24,54.8,54.8,562000,fwd,21,0,0
490,Harry Schoenberg,23,41.8,41.8,427000,fwd,4,0,0
491,Josh Fahey,21,0,0,242000,def,0,0,0
492,Jack Buckley,27,60.5,60.5,620000,def,21,0,0
493,Noah Balta,25,60.8,60.8,624000,def,19,0,0
494,Sam Lalor ,18,0,0,340000,mid,0,0,0
495,Josh Smillie ,18,0,0,322000,mid,0,0,0
496,Sid Draper ,18,0,0,331000,mid,0,0,0
497,Harry Charleson,18,0,0,230000,def,0,0,0
498,Charlie Edwards,19,0,0,230000,def,0,0,0
499,Edward Allan,20,56,56,437000,mid,2,0,0
500,Xavier O'Halloran,24,47.6,47.6,488000,fwd,17,0,0
501,Dan Butler,28,44.8,44.8,460000,fwd,16,0,0
502,Luke Pedlar,22,24.8,24.8,490000,fwd,4,0,0
503,Hugh Jackson,21,0,0,230000,mid,0,0,0
504,Tom Cochrane,18,0,0,230000,mid,0,0,0
505,Benny Barrett ,18,0,0,230000,mid,0,0,0
506,Christian Moraes,18,0,0,230000,mid,0,0,0
507,Hayden McLean,25,64.8,64.8,665000,fwd,23,0,0
508,Willie Rioli,29,52.7,52.7,541000,fwd,17,0,0
509,Jeremy Finlayson,28,56.8,56.8,583000,fwd,12,0,0
510,Tobie Travaglia,18,0,0,319000,def,0,0,0
511,Leonardo Lombard,18,0,0,316000,mid,0,0,0
512,Zak Evans,24,0,0,230000,mid,0,0,0
513,Karl Worner,22,36,36,315000,def,4,0,0
514,Jacob van Rooyen,21,57.1,57.1,586000,fwd,21,0,0
515,Malcolm Rosas,23,40.7,40.7,422000,fwd,7,0,0
516,Lachie Fogarty,25,50.7,50.7,521000,fwd,15,0,0
517,Josh Weddle,20,59.1,59.1,606000,def,23,0,0
518,Mabior Chol,27,59.4,59.4,609000,fwd,21,0,0
519,Deven Robertson,23,27,27,301000,fwd,2,0,0
520,Indhi Kirk,20,0,0,230000,mid,0,0,0
521,Tom Hanily,19,0,0,230000,mid,0,0,0
522,Jesse Dattoli,18,0,0,277000,fwd,0,0,0
523,William Hayes,18,0,0,230000,fwd,0,0,0
524,Rory Lobb,31,65.3,65.3,670000,def,15,0,0
525,Lewis Young,26,53.9,53.9,547000,def,8,0,0
526,Jake Kolodjashnij,29,59.1,59.1,607000,def,22,0,0
527,Taj Hotton,18,0,0,307000,fwd,0,0,0
528,Tyler Sonsie,21,44.7,44.7,459000,fwd,14,0,0
529,Mac Andrew,21,64.3,64.3,659000,def,20,0,0
530,Oliver Sestan,20,0,0,230000,fwd,0,0,0
531,Jack Petruccelle,25,48.3,48.3,495000,fwd,16,0,0
532,Shannon Neale,22,56.6,56.6,581000,fwd,13,0,0
533,Lucca Grego,18,0,0,230000,mid,0,0,0
534,Tom Gross,18,0,0,230000,mid,0,0,0
535,Lachlan Sullivan,27,46.5,46.5,477000,mid,10,0,0
536,Dougal Howard,28,50.1,50.1,514000,def,15,0,0
537,Lachlan McNeil,23,52.2,52.2,535000,fwd,11,0,0
538,Sam Sturt,24,48.3,48.3,496000,fwd,13,0,0
539,Phoenix Gothard,19,0,0,230000,fwd,0,0,0
540,Nathan Wardius,20,0,0,230000,fwd,0,0,0
541,Joel Amartey,25,48.6,48.6,499000,fwd,22,0,0
542,Andy Moniz-Wakefield,21,52.3,52.3,473000,def,6,0,0
543,Ted Clohesy,20,34,34,265000,fwd,2,0,0
544,Jackson Archer,21,43.8,43.8,449000,def,15,0,0
545,Calsher Dear,19,43.3,43.3,445000,fwd,15,0,0
546,Nate Caddy,19,53.1,53.1,545000,fwd,10,0,0
547,Logan Morris,19,43.4,43.4,445000,fwd,15,0,0
548,Charlie Spargo,25,36,36,340000,fwd,1,0,0
549,Tom Brown,21,49.3,49.3,506000,def,18,0,0
550,Hamish Davis,18,0,0,230000,fwd,0,0,0
551,Oleg Markov,28,45.8,45.8,469000,def,12,0,0
552,Jake Melksham,33,44,44,470000,fwd,8,0,0
553,Seamus Mitchell,22,34.8,34.8,357000,def,10,0,0
554,Ben McKay,27,54.2,54.2,556000,def,23,0,0
555,Shane McAdam,29,44.3,44.3,484000,fwd,3,0,0
556,Josh Sinn,21,53.8,53.8,452000,def,4,0,0
557,Harrison Oliver,18,0,0,286000,def,0,0,0
558,Josh Dolan,18,0,0,250000,fwd,0,0,0
559,Sam Davidson,23,0,0,230000,fwd,0,0,0
560,Angus Clarke ,18,0,0,230000,def,0,0,0
561,Luamon Lual,19,0,0,230000,def,0,0,0
562,Bo Allan ,18,0,0,295000,def,0,0,0
563,Rob Monahan,20,0,0,230000,fwd,0,0,0
564,Shadeau Brain,20,37.4,37.4,373000,def,9,0,0
565,Sam Taylor,25,51.5,51.5,528000,def,16,0,0
566,Jasper Scaife,20,0,0,230000,fwd,0,0,0
567,Harrison Petty,25,50.8,50.8,521000,fwd,20,0,0
568,Tyler Welsh,18,0,0,230000,fwd,0,0,0
569,Karl Gallagher,22,0,0,230000,def,0,0,0
570,Darcy Craven,20,0,0,230000,fwd,0,0,0
571,Will McLachlan,19,0,0,230000,fwd,0,0,0
572,Ty Gallop,18,0,0,230000,fwd,0,0,0
573,Jack Delean,19,0,0,230000,fwd,0,0,0
574,Jaren Carr,20,0,0,230000,fwd,0,0,0
575,Charlie Nicholls,18,0,0,241000,fwd,0,0,0
576,Charlie Ballard,25,50.3,50.3,515000,def,23,0,0
577,Robbie Fox,31,49.7,49.7,510000,def,16,0,0
578,Jacob Konstanty,20,0,0,230000,fwd,0,0,0
579,Ryan Maric,20,41,41,421000,fwd,19,0,0
580,Vigo Visentini,19,0,0,230000,ruck,0,0,0
581,Oliver Wiltshire,22,0,0,230000,fwd,0,0,0
582,Jay Polkinghorne,18,0,0,230000,fwd,0,0,0
583,Bailey Macdonald,20,0,0,377000,def,0,0,0
584,Keighton Matofai-Forbes,18,0,0,230000,fwd,0,0,0
585,Jye Menzie,22,38.4,38.4,394000,fwd,14,0,0
586,Sean Lemmens,30,52.3,52.3,424000,def,3,0,0
587,Anthony Scott,29,25,25,378000,fwd,2,0,0
588,Griffin Logue,26,49.5,49.5,404000,def,2,0,0
589,Callum M. Brown,24,41.5,41.5,426000,fwd,13,0,0
590,Sam Day,32,63,63,549000,fwd,5,0,0
591,Kynan Brown,19,8.5,8.5,230000,mid,2,0,0
592,Will Lorenz,19,25,25,230000,mid,1,0,0
593,Bodie Ryan,19,0,0,230000,def,0,0,0
594,Noah Mraz,18,0,0,238000,def,0,0,0
595,Matt Hill,20,0,0,230000,def,0,0,0
596,Brayden George,20,0,0,230000,fwd,0,0,0
597,Luke Lloyd,19,0,0,230000,fwd,0,0,0
598,Luke Beecken,23,0,0,230000,def,0,0,0
599,Billy Wilson,19,0,0,230000,def,0,0,0
600,Harry O'Farrell,18,0,0,230000,def,0,0,0
601,Liam O'Connell,21,0,0,230000,def,0,0,0
602,Matt Duffy,20,0,0,230000,def,0,0,0
603,Jordan Croft,19,0,0,230000,fwd,0,0,0
604,Asher Eastham,18,0,0,230000,fwd,0,0,0
605,Lachlan Gulbin ,18,0,0,230000,fwd,0,0,0
606,Ned Bowman,18,0,0,265000,fwd,0,0,0
607,Joe Fonti,20,38.3,38.3,322000,def,4,0,0
608,Laitham Vandermeer,25,44.6,44.6,458000,fwd,23,0,0
609,Lennox Hoffman,18,0,0,230000,def,0,0,0
610,Cillian Burke,21,0,0,230000,def,0,0,0
