ID,Name,Age,Average,Predicted,Price,Position,Games,Drafted,Ignored
713,Lewis Hayes,20,0,0,230000,def,0,0,0
714,Corey Warner,21,28.5,28.5,257000,fwd,6,0,0
715,Wade Derksen,23,0,0,230000,fwd,0,0,0
716,Robert Hansen Jr,20,32.7,32.7,295000,fwd,6,0,0
717,Jai Serong,21,37.3,37.3,395000,def,4,0,0
718,Henry Smith,22,37.5,37.5,315000,fwd,4,0,0
719,Zane Duursma,19,36.4,36.4,373000,fwd,13,0,0
720,Jedd Busslinger,20,0,0,230000,def,0,0,0
721,Judson Clarke,21,17,17,297000,fwd,1,0,0
722,Chris Burgess,29,45.9,45.9,428000,fwd,7,0,0
723,Jed McEntee,23,34.2,34.2,351000,fwd,13,0,0
724,Alex Cincotta,28,41.9,41.9,430000,def,16,0,0
725,Oscar McDonald,28,38,38,285000,def,1,0,0
726,Buku Khamis,24,43.7,43.7,448000,def,17,0,0
727,Callum Coleman-Jones,25,26,26,408000,fwd,3,0,0
728,Matt Whitlock,18,0,0,262000,def,0,0,0
729,Tylar Young,26,39.1,39.1,389000,def,9,0,0
730,Alwyn Davey Jnr,20,27.7,27.7,284000,fwd,10,0,0
731,Brandon Ryan,27,19,19,290000,fwd,1,0,0
732,Zane Zakostelsky,19,0,0,230000,def,0,0,0
733,Ollie Murphy,19,0,0,230000,def,0,0,0
734,James Borlase,22,47.6,47.6,488000,def,10,0,0
735,Cooper Bell,18,0,0,230000,def,0,0,0
736,Leek Aleer,23,42.8,42.8,412000,def,8,0,0
737,Jake Rogers,19,35.6,35.6,354000,fwd,9,0,0
738,Xavier Walsh,19,0,0,230000,fwd,0,0,0
739,Sam Frost,31,37.4,37.4,384000,def,23,0,0
740,Joshua Draper,20,38.4,38.4,394000,def,20,0,0
741,William Edwards,21,0,0,230000,def,0,0,0
742,Patrick Snell,19,0,0,230000,def,0,0,0
743,Jordon Butts,25,42,42,431000,def,15,0,0
744,Jed Adams,20,0,0,230000,def,0,0,0
745,Ricky Mentha ,18,0,0,230000,def,0,0,0
746,Alex Pearce,29,49.5,49.5,508000,def,15,0,0
747,Ollie Lord,22,33.7,33.7,316000,fwd,6,0,0
748,Conor Stone,22,15.5,15.5,230000,fwd,4,0,0
749,Darragh Joyce,27,48,48,433000,def,6,0,0
750,Caleb Graham,24,0,0,252000,def,0,0,0
751,Arthur Jones,21,38,38,285000,fwd,1,0,0
